"Stock","int_yr","StartYear","EndYear","Sufficient_No_Years"
"Ablennes",2014,2000,2024,TRUE
"Acanthurus",2012,2000,2024,TRUE
"Aetobatus",2014,2000,2024,TRUE
"Alopias",2014,2001,2024,TRUE
"Anisotremus",2012,2000,2024,TRUE
"Anoplopoma",2019,2000,2024,TRUE
"Argopecten",2018,2000,2024,TRUE
"Ariopsis",2009,2000,2024,TRUE
"Balistes",2007,2000,2024,TRUE
"Brotula",2013,2000,2024,TRUE
"Calamus",2005,2000,2024,TRUE
"Callinectes",2015,2005,2023,TRUE
"Caranx",2012,2000,2024,TRUE
"Carcharhinus",2015,2000,2024,TRUE
"Caulolatilus",2014,2000,2024,TRUE
"Centropomus",2011,2000,2024,TRUE
"Cetengraulis",2011,2000,2024,TRUE
"Chanos",2013,2000,2024,TRUE
"Chione",2017,2012,2023,TRUE
"Coryphaena",2008,2000,2024,TRUE
"Cynoscion",2012,2000,2024,TRUE
"Diapterus",2015,2000,2024,TRUE
"Diplectrum",2012,2000,2024,TRUE
"Dosidicus",2011,2000,2024,TRUE
"Dosinia",2011,2000,2024,TRUE
"Epinephelus",2009,2000,2024,TRUE
"Especies",2017,2000,2024,TRUE
"Etrumeus",2010,2000,2024,TRUE
"Eucinostomus",2009,2000,2024,TRUE
"Eugerres",2014,2000,2024,TRUE
"Euthynnus",2018,2004,2024,TRUE
"Farfantepenaeus",2011,2000,2024,TRUE
"Galeocerdo",2010,2000,2024,TRUE
"Gerres",2013,2000,2024,TRUE
"Ginglymostoma",2014,2000,2024,TRUE
"Haemulon",2008,2000,2024,TRUE
"Haemulopsis",2012,2000,2024,TRUE
"Haliotis",2015,2000,2024,TRUE
"Hexaplex",2018,2000,2024,TRUE
"Hoplopagrus",2012,2000,2024,TRUE
"Hypanus",2013,2000,2024,TRUE
"Hyporthodus",2013,2000,2024,TRUE
"Istiophorus",2012,2000,2024,TRUE
"Isurus",2014,2005,2024,TRUE
"Katsuwonus",2013,2000,2024,TRUE
"Lamna",2016,2000,2024,TRUE
"Larimus",2012,2005,2024,TRUE
"Litopenaeus",2017,2000,2022,TRUE
"Lobatus",2012,2000,2024,TRUE
"Lutjanus",2014,2000,2024,TRUE
"Megapitaria",2013,2000,2024,TRUE
"Menticirrhus",2012,2000,2024,TRUE
"Merluccius",2014,2000,2024,TRUE
"Mesocentrotus",2015,2000,2024,TRUE
"Microlepidotus",2018,2000,2024,TRUE
"Micropogonias",2009,2000,2024,TRUE
"Mobula",2009,2000,2019,TRUE
"Mugil",2008,2000,2024,TRUE
"Mustelus",2015,2000,2024,TRUE
"Mycteroperca",2015,2000,2024,TRUE
"Nasolamia",2013,2007,2024,TRUE
"Nematistius",2011,2000,2024,TRUE
"Nicholsina",2004,2000,2024,TRUE
"Oligoplites",2012,2000,2024,TRUE
"Opisthonema",2012,2000,2024,TRUE
"Orthopristis",2014,2000,2024,TRUE
"Panopea",2017,2005,2024,TRUE
"Panulirus",2011,2000,2024,TRUE
"Paralabrax",2012,2000,2024,TRUE
"Paranthias",2018,2000,2024,TRUE
"Parapsettus",2009,2000,2024,TRUE
"Penaeus",2011,2000,2024,TRUE
"Prionace",2014,2001,2024,TRUE
"Pseudobatos",2008,2000,2024,TRUE
"Rimapenaeus",2012,2000,2024,TRUE
"Sarda",2010,2000,2022,TRUE
"Sardinops",2011,2000,2024,TRUE
"Scomber",2014,2000,2024,TRUE
"Scomberomorus",2010,2000,2024,TRUE
"Scorpaena",2007,2000,2024,TRUE
"Selene",2008,2000,2024,TRUE
"Seriola",2008,2000,2024,TRUE
"Sphoeroides",2013,2000,2024,TRUE
"Sphyraena",2010,2000,2024,TRUE
"Sphyrna",2014,2000,2024,TRUE
"Squatina",2013,2000,2024,TRUE
"Stereolepis",2016,2000,2024,TRUE
"Stomolophus",2017,2011,2024,TRUE
"Synodus",2012,2000,2024,TRUE
"Thunnus",2008,2000,2024,TRUE
"Trachinotus",2005,2000,2024,TRUE
"Trichiurus",2012,2008,2024,TRUE
"Turbo",2017,2010,2024,TRUE
"Xenichthys",2013,2000,2023,TRUE
"Xiphias",2007,2000,2024,TRUE
