"","recorded_taxa_group","recorded_taxa_name_clean","total_catch_2014.2024","total_value_2014.2024"
"1","ABULON","ABULON",23834.8,13964830
"2","ALMEJA","ALMEJA",416167,26533700
"3","ALMEJA","ALMEJA BLANCA",223798,3071444
"4","ALMEJA","ALMEJA CATARINA",287140,2321615
"5","ALMEJA","ALMEJA CHOCOLATA",30000,606405
"6","ALMEJA","ALMEJA GENEROSA",61171,3950462
"7","ALMEJA","ALMEJA PATA MULA",1099843,21327649
"8","ATUN","ATUN ALETA AZUL P",735000,22050000
"9","BAGRE","JUILE",17108,2025800
"10","CAMARON","CAMARON AZUL",1270202.17,1139789847.76
"11","CAMARON","CAMARON BLANCO",400181046.6527,38399577056.4028
"12","CAMARON","CAMARON BLANCO (LITOPENAEUS VANNAMEI)",788863941.6,76281026431.91
"13","CAMARON","CAMARON CAFE",309644,19769950
"14","CARACOL","CARACOL",218285,16541251
"15","CARPA","CARPA COMUN",100325.32,1487303
"16","CHARAL","CHARAL (CHIROSTOMA SPHYRAENA)",10500,835000
"17","GUACHINANGO","GUACHINANGO",661371.1,108542880
"18","JUREL","JUREL",2093134,292963799.9
"19","LENGUADO","LENGUADO",18675.137,905167.25
"20","LOBINA","LOBINA NEGRA",165887.9,4568310.5
"21","MOJARRA","MOJARRA",309349.5,11094964
"22","MOJARRA","MOJARRA CASTARRICA",45425,1301650
"23","OSTION","OSTION",8546579,110293290
"24","OSTION","OSTION JAPONES",16703957.47,543404916.518
"25","OTRAS","CALLO HACHA",712101.5,6049420
"26","OTRAS","LAGARTO",37620,3385800
"27","OTRAS","TOPOTE",18300,832000
"28","ROBALO","ROBALO",475453.5,65505580
"29","TRUCHA","TRUCHA ARCO-IRIS",12329.9,272135
