"year","OHI_region","FOFM_score","AQRM_score","SHEL_score","RESD_score","FINS_score2","SALT_score","NP_Score","NP_Score_n_components"
2018,"region_1",NA,68.2211378507264,NA,2.07948591921126,NA,NA,35.1503118849688,2
2019,"region_1",NA,23.5665964289675,NA,1.50968987792823,NA,NA,12.5381431534479,2
2020,"region_1",NA,0,NA,1.76960029452127,NA,NA,0.884800147260635,2
2021,"region_1",97.094,23.5665964289675,NA,2.89172645513427,NA,NA,41.1841076280339,3
2022,"region_1",NA,87.7120993678607,100,3.6064114585149,NA,NA,63.7728369421252,3
2023,"region_1",NA,0.831762226904735,NA,3.87736274964812,NA,NA,2.35456248827643,2
2024,"region_1",NA,12.6150604413885,NA,2.02613635128633,84.5778070743312,NA,33.073001289002,3
2018,"region_2",NA,100,NA,23.0055026142661,NA,NA,61.5027513071331,2
2019,"region_2",NA,100,NA,20.7578732261954,97.7389854260902,NA,72.8322862174285,3
2020,"region_2",100,43.950455986855,8.79241956809167,1.92607302881195,NA,NA,38.6672371459397,4
2021,"region_2",NA,100,14.8707031494584,9.74585785474519,97.7389854260902,NA,55.5888866075734,4
2022,"region_2",NA,62.3837415981061,0.305419813416259,11.3198884661649,99.8934427948179,NA,43.4756231681263,4
2023,"region_2",NA,59.7196672238097,NA,10.3248748354036,100,NA,56.6815140197378,3
2024,"region_2",100,61.4957168066739,0.582614775110697,12.6219347183806,97.7389854260902,NA,54.4878503452511,5
2018,"region_3",31.2746667,13.57645452636,NA,0.208676470337928,NA,NA,15.019932565566,3
2019,"region_3",NA,89.3982356647763,NA,4.07308354641758,100,NA,64.4904397370646,3
2020,"region_3",29.7673333,69.4050619617727,100,2.68182722910704,NA,NA,50.4635556227199,4
2021,"region_3",97.094,38.1353707204369,NA,1.7540695347893,NA,NA,45.6611467517421,3
2022,"region_3",43.0533333,83.3622138206259,100,8.19453780639081,99.6924049993799,NA,66.8604979852793,5
2023,"region_3",NA,66.9397185465238,NA,2.840006856553,97.1121451994483,NA,55.630623534175,3
2024,"region_3",24.1266667,NA,NA,2.29392299047158,NA,NA,13.2102948452358,2
2018,"region_4",31.2746667,52.2049157536759,100,0.587799757127389,97.4469744241981,NA,56.3028713270003,5
2019,"region_4",NA,1.14154687691092,100,1.79208273698148,97.4469744241981,NA,50.0951510095226,4
2020,"region_4",NA,55.6980546812745,3.84649361739719,0.643350797844551,86.0416761221808,NA,36.5573938046743,4
2021,"region_4",NA,0,100,3.7743808056366,97.4469744241981,NA,50.3053388074587,4
2022,"region_4",NA,5.49521965248494,100,3.16423441784006,83.9345974543156,NA,48.1485128811602,4
2023,"region_4",NA,0.921354193231008,100,0.828397317082928,51.7337919892211,NA,38.3708858748838,4
2024,"region_4",NA,1.26137776454245,100,0.400172171156797,74.9114500098955,NA,44.1432499863987,4
2018,"region_5",NA,74.4799260844415,100,17.2973120968327,99.1480024529811,NA,72.7313101585638,4
2019,"region_5",NA,48.5468614867437,100,17.9658686442916,NA,NA,55.5042433770118,3
2020,"region_5",NA,78.1372347353121,77.6789975079093,9.65233307741827,NA,NA,55.1561884402132,3
2021,"region_5",NA,43.7362132822986,9.74848593338858,8.74993614385939,NA,NA,20.7448784531822,3
2022,"region_5",NA,0,7.50581313009884,6.1885740200803,72.5538254908724,NA,21.5620531602629,4
2023,"region_5",56.127363471346,0,100,8.0045124700939,72.4183779871915,NA,47.3100507857263,5
2024,"region_5",NA,82.9348136143731,18.1763931615216,5.25003673767344,69.9506101972134,NA,44.0779634276954,4
2018,"region_6",NA,30.003868420682,NA,5.51491157003317,NA,16.2019710578842,17.2402503495331,3
2019,"region_6",NA,41.8905228663423,3.21798365122616,1.47151891090209,NA,100,36.6450063571176,4
2020,"region_6",NA,100,1.78754037690522,2.22613340379752,NA,100,51.0034184451757,4
2021,"region_6",NA,100,0.694173547450317,5.55229288733288,NA,NA,35.4154888115944,3
2022,"region_6",NA,100,25.7936281203755,5.45139036741013,73.9850640889616,100,61.0460165153494,5
